Nr;Name;Region;ue_jul17;ur_jul17;vol_17;ue_dez16;ur_dez16;vol_16
10698;Dübendorf ;Zürich Stadt;-1670094;-0.0144;4097;-1891070;-0.0092;3970
10254;Châtelaine ;Romandie;-1079990;-0.0261;1284;292959;0.0038;1218
10320;Lausanne ;Romandie;-1020184;-0.0261;1931;-1454533;-0.0202;1772
10500;Solothurn ;ZMB;-988887;-0.0874;740;-1438109;-0.0635;561
10655;AOC Sihlbrugg;ZMB;-837386;-0.0432;0;-578500;-0.0165;0
10620;Winterthur ;ZLO;-807407;-0.0148;1500;-277113;-0.0029;1540
10676;Schlieren ;Zürich Stadt;-803478;-0.044;726;-1070587;-0.0299;748
10650;Utoquai ;Zürich Stadt;-783282;-0.0268;499;-2117847;-0.0427;462
10540;Baden ;ZMB;-639362;-0.0326;577;-139499;0;0
10357;AOC Lugano;Ticino;-550262;-0.03;0;-604683;-0.0121;1
10437;AOC Oftringen;ZMB;-498917;-0.0436;0;60424;0.0029;0
10450;Schaffhausen ;ZLO;-486389;-0.0162;785;-367752;-0.0079;745
10290;AOC Münchenbuchsee;ZMB;-485533;-0.0276;0;-298986;-0.011;0
10380;Ebikon;ZMB;-443261;-0.0192;790;-338550;-0.0081;702
10289;AOC Genève;Romandie;-378108;-0.0186;0;55053;0.0015;0
10760;Jona ;ZLO;-343139;-0.0223;330;-391244;-0.0156;279
10240;Petit-Lancy ;Romandie;-337853;-0.0147;1562;-593578;-0.0098;1449
10739;Horgen ;ZLO;-334743;-0.0176;565;-723106;-0.0219;536
10645;Cham;ZMB;-332090;-0.005;1939;233460;0.0021;1768
10140;Biel ;ZMB;-328921;-0.0092;1261;123121;0.002;1153
10330;Crissier ;Romandie;-320975;-0.0095;1108;101138;0.0018;992
10415;Emmenbrücke;ZMB;-280076;-0.0492;150;-314116;-0.0276;112
10659;AOC Zürich;Zürich Stadt;-207020;-0.019;0;-194208;-0.0096;0
10680;Uster Ackerstrasse;Zürich Stadt;-200448;-0.0124;553;-709065;-0.0244;503
10790;Bülach ;ZLO;-191897;-0.0207;220;-18037;-0.0012;207
10460;Dulliken ;ZMB;-178644;-0.0117;608;-120853;-0.0041;502
10302;AOC Crissier;Romandie;-141021;-0.0059;0;-560804;-0.0147;0
10350;Lugano ;Ticino;-135941;-0.0055;1405;1227081;0.0251;1341
10090;Bellinzona ;Ticino;-127983;-0.0067;835;585494;0.0172;976
13537;Aarau ;ZMB;-123194;-0.0119;364;-30204;-0.0016;300
10369;Mendrisio ;Ticino;-91880;-0.0049;820;646467;0.0195;832
10348;Etoy ;Romandie;-82375;-0.0035;839;18568;0.0005;831
10610;St. Légier;Romandie;-73817;-0.0086;249;-6958;-0.0004;235
10600;Vevey ;Romandie;-70695;-0.0078;421;-2195;-0.0001;459
10241;Carouge ;Romandie;-43912;-0.006;521;-491437;-0.0377;358
10173;Giubiasco Audi;Ticino;-34921;-0.0026;380;313699;0.0143;330
10570;Thun ;ZMB;-34589;-0.001;1053;843569;0.0136;1107
10219;Fribourg Audi;Romandie;-23711;-0.002;330;113396;0.0056;337
10155;Zuchwil ;ZMB;-19965;-0.001;456;-97039;-0.003;377
16136;Vernier ;Romandie;-19643;-0.0012;537;-284155;-0.0193;376
10376;Sursee;ZMB;-18950;-0.0007;801;166427;0.0035;759
10232;Murten ;ZMB;-16548;-0.0037;183;-150143;-0.02;121
10277;Weinfelden ;ZLO;5460;0.0052;0;-194433;-0.1185;0
10400;Kriens;ZMB;7232;0.0003;429;176630;0.0042;401
10501;Grenchen ;ZMB;12690;0.0014;278;-44699;-0.003;288
10850;Givisiez ;Romandie;13993;0.0017;285;-9501;-0.0008;255
10001;Schinznach ;ZMB;23306;0.0004;1906;549546;0.004;2513
16810;Wollishofen ;Zürich Stadt;23964;0.0022;325;-467569;-0.0247;363
10690;Kloten ;Zürich Stadt;30818;0.007;0;-173346;-0.0185;37
16601;Emmen;ZMB;42160;0.0051;410;444125;0.0303;368
10227;Bulle ;Romandie;74275;0.0065;474;273564;0.0144;385
10244;Nyon ;Romandie;84125;0.0089;280;301879;0.0158;238
10092;Giubiasco Skoda;Ticino;103715;0.0185;270;157524;0.0204;253
10781;Volketswil ;Zürich Stadt;110466;0.0095;0;346254;0.0199;0
16831;Uster Pfäffikerstrasse;Zürich Stadt;129030;0.0149;245;114049;0.009;208
10359;Sorengo ;Ticino;137298;0.0225;200;15534;0.0019;190
10399;Rain;ZMB;146032;0.0131;224;160061;0.0083;303
10190;Davos ;ZLO;157471;0.0186;160;169724;0.0126;154
13963;ACC Zuchwil;ZMB;169151;0.0564;0;696442;0.1071;0
10165;Chur ;ZLO;193365;0.0073;855;290004;0.0061;835
10523;Heerbrugg ;ZLO;199144;0.0109;485;116273;0.0036;494
10151;AMAG (Vaduz) AG;ZLO;235394;0.0183;190;391384;0.0176;202
13961;ACC Birrfeld;ZMB;236458;0.3067;0;617665;0.4657;0
10464;Oftringen ;ZMB;244653;0.0401;103;371641;0.0364;101
13962;ACC Lengwil;ZLO;255366;0.1086;0;-55391;-0.2039;0
10710;Rautistrasse ;Zürich Stadt;277756;0.0148;383;409394;0.0128;363
10150;Buchs SG;ZLO;374418;0.0239;510;876513;0.0293;509
13346;Bern Gümligen;ZMB;421803;0.0368;305;246974;0.0172;314
16114;Villeneuve ;Romandie;463783;0.0243;410;1052854;0.0361;447
10220;Fribourg VW;Romandie;477056;0.0127;1292;100314;0.0016;1227
10200;Frauenfeld ;ZLO;485953;0.0166;904;-738722;-0.0143;872
10364;Breganzona ;Ticino;541640;0.0188;800;981268;0.0239;791
10100;Bern Wankdorf;ZMB;600742;0.009;2416;1625364;0.0133;2533
10260;Kreuzlingen ;ZLO;705394;0.0275;730;1438994;0.0294;748
